X79a	X85a	X89a	X84a	X48a	X82a	X34a	X27a	X21a	X16a	X60a	X62a	X63a	X67c	X65c	X39c	X10c	X44c	X78c	X76c
CCDC28B	4	24	7	2	3	8	0	16	22	4	7	3	18	7	20	9	3	43	6	13
CCDC3	119	53	53	16	18	44	22	81	86	73	92	35	126	43	20	83	42	10	66	30
CCDC30	112	85	106	26	7	66	95	75	49	161	133	205	7	112	83	115	32	56	43	33
CCDC33	0	2	0	0	0	0	0	0	0	12	23	6	0	0	0	1	0	0	0	0
CCDC34	949	722	153	262	168	311	154	409	911	705	641	699	393	279	729	761	168	316	598	1083
CCDC36	1	1	1	1	1	0	1	5	0	1	1	18	0	2	2	2	0	4	0	17
CCDC37-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC38	0	0	0	0	0	0	11	0	6	0	2	5	0	0	0	4	0	0	3	2
CCDC39	166	102	24	31	18	29	82	90	197	236	148	166	34	139	232	213	75	109	117	144
CCDC40	23	25	15	21	5	4	26	69	33	99	35	18	31	12	57	14	28	94	55	88
CCDC42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
CCDC43	177	58	128	20	35	31	43	75	139	70	46	80	37	95	153	156	65	61	88	74
CCDC47	2087	1102	787	282	366	644	574	754	1788	1002	1652	760	1150	1004	1357	1455	471	761	1099	1117
CCDC50	510	201	378	111	166	224	429	373	490	591	631	966	355	266	169	312	189	242	151	184
CCDC51	17	10	1	3	3	21	7	4	18	11	9	15	11	7	19	22	1	5	21	20
CCDC53	373	117	96	57	31	87	26	143	310	157	240	195	178	207	335	238	39	75	242	251
CCDC54	1	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
CCDC57	4	9	2	5	5	11	6	4	5	3	36	23	24	5	7	22	15	4	12	4
CCDC58	88	70	39	17	18	15	2	17	117	75	74	58	73	49	108	33	26	32	93	78
CCDC59	498	143	230	65	102	187	108	206	549	160	636	314	219	188	428	577	114	159	346	172
CCDC6	3892	948	683	820	595	1667	825	1578	4297	1658	2692	1507	2259	1786	2501	2908	839	1430	2293	1574
CCDC60	0	0	0	2	0	0	0	0	0	97	19	3	0	0	0	0	0	1	0	0
CCDC61	0	15	6	0	1	0	9	5	0	3	1	2	2	2	2	0	0	0	4	0
CCDC62	10	0	13	1	12	13	5	39	23	12	1	2	3	10	25	3	14	16	6	4
CCDC63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC64	95	97	12	25	39	24	22	38	190	264	57	53	116	60	141	135	74	42	69	174
CCDC64B	0	0	0	0	1	0	0	0	3	0	0	4	0	1	2	1	0	1	1	9
CCDC65	32	4	7	3	0	34	3	41	11	119	38	2	11	10	38	12	25	27	14	4
CCDC66	296	155	127	106	127	131	128	272	224	333	380	413	302	232	275	277	70	180	235	283
CCDC67	1	0	0	0	0	3	0	0	0	36	1	0	2	0	0	0	0	0	0	0
CCDC68	30	93	40	2	25	35	9	18	48	23	30	8	27	22	93	46	10	13	52	5
CCDC69	181	86	98	26	37	101	83	155	104	297	219	215	28	58	125	116	43	41	70	38
CCDC7	122	183	50	16	46	89	124	186	68	57	79	64	18	53	67	91	39	82	61	111
CCDC70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC71	10	10	16	0	5	5	2	15	3	9	4	33	2	3	12	8	3	12	10	9
CCDC71L	35	23	98	13	32	58	53	24	34	24	35	17	15	6	16	53	5	24	14	2
CCDC73	128	96	32	44	26	51	46	69	138	46	121	126	76	78	127	71	15	54	79	114
CCDC74A	12	2	0	0	0	4	1	0	4	6	4	21	2	0	3	12	6	4	0	0
CCDC74B	0	0	0	0	1	0	0	0	1	0	4	4	0	1	0	1	1	1	0	0
CCDC77	99	33	15	17	3	0	1	106	111	28	61	18	75	51	90	49	21	69	88	90
CCDC78	0	2	1	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	1	2
CCDC79	0	0	0	0	2	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0
CCDC8	0	10	18	0	0	0	12	4	16	13	46	14	1	3	0	2	1	0	1	0
CCDC80	7	158	233	1	74	38	26	120	60	166	237	257	65	71	8	20	10	12	2	6
CCDC81	2	12	3	23	0	3	2	8	1	67	31	6	15	1	3	14	0	32	3	28
CCDC82	1774	405	393	423	250	455	317	884	1627	976	1035	1060	880	989	1494	1208	289	720	849	1008
CCDC83	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CCDC84	31	62	19	5	15	34	21	28	16	36	62	85	19	24	13	23	10	28	10	18
CCDC85A	60	36	278	9	13	101	88	185	55	126	221	234	18	52	20	64	35	144	3	7
CCDC85B	43	47	9	16	14	34	65	42	42	48	44	42	35	54	60	95	33	33	63	138
CCDC85C	55	57	18	31	14	36	40	32	85	78	68	73	36	31	61	29	45	30	59	57
CCDC86	26	9	4	2	5	3	35	14	20	7	17	51	7	13	9	10	22	19	9	10
CCDC87	1	1	0	0	0	1	0	26	3	18	0	0	3	1	34	1	2	8	20	3
CCDC88A	3282	1851	2021	517	796	1501	1521	2713	3382	3275	4025	4627	2288	2578	2378	2603	936	2180	1861	2060
CCDC88B	0	7	2	2	3	0	2	3	0	3	1	25	1	1	0	0	1	0	2	0
CCDC88C	3	25	14	12	16	24	5	4	1	67	42	4	2	5	5	10	9	20	6	12
CCDC89	5	2	0	1	1	3	7	4	17	3	13	6	6	15	15	27	2	2	11	9
CCDC9	1	10	12	3	0	2	2	1	1	0	7	3	0	0	1	6	1	5	1	4
CCDC90B	966	1009	380	160	178	340	569	644	1182	655	1383	792	758	420	841	600	73	421	650	597
CCDC91	3352	1010	698	551	419	1063	801	1160	2774	1980	2083	1887	1675	1236	2181	1844	478	1281	1524	1667
CCDC92	1836	1158	359	622	331	797	857	918	2066	1097	1387	1184	1315	1188	1184	2231	953	773	1269	2514
CCDC93	314	159	182	58	81	162	216	230	267	270	327	157	115	154	201	218	129	136	108	264
CCDC94	10	11	4	25	3	3	11	8	22	13	30	8	21	5	13	14	4	8	2	21
CCDC96	16	2	1	16	11	2	8	11	58	8	24	75	25	7	14	41	24	3	12	27
CCDC97	99	118	96	13	56	53	198	104	65	177	124	184	47	33	47	117	94	30	94	55
CCEPR	57	78	164	36	60	35	250	180	95	218	379	147	127	66	48	187	28	159	56	61
CCER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCER2	5	0	0	0	0	5	0	1	0	3	0	3	0	1	0	0	1	1	0	1
CCHCR1	2	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
CCIN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCK	29	105	4	17	6	36	38	20	58	22	96	44	9	32	25	78	3	21	42	161
CCKAR	2	12	0	12	7	5	0	4	1	0	0	2	1	11	2	5	0	2	2	2
CCKBR	1	0	0	0	0	0	2	1	2	23	4	13	0	3	6	6	3	2	2	0
CCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CCL11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL13	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CCL14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL15-CCL14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0
CCL17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL18	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
CCL19	3	31	12	0	14	0	9	7	1	32	0	25	25	0	0	1	6	0	0	0
CCL2	23	5	684	1	48	160	6	185	7	10	147	215	8	12	22	6	16	0	1	2
CCL20	1	0	7	0	0	0	0	2	1	0	0	0	0	0	1	0	1	3	0	0
CCL21	0	47	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CCL22	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	7	0	0
CCL23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL27	1	6	3	1	0	2	6	2	4	5	5	3	1	1	1	3	1	8	1	0
CCL28	73	30	21	15	18	56	88	52	59	22	132	98	21	24	69	30	7	28	56	85
CCL3	3	0	2	0	0	4	0	3	2	0	0	1	4	0	0	3	0	0	1	0
CCL3L1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0
CCL3L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL4	0	2	0	0	0	2	9	5	9	0	12	13	0	0	0	0	0	1	1	0
CCL4L1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCL4L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CCL5	0	22	6	0	0	16	2	3	0	6	47	18	0	1	0	3	0	0	2	0
CCL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL8	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
CCM2	45	18	14	21	20	17	29	48	51	36	38	18	21	19	32	39	49	36	37	44
CCM2L	1	0	7	8	1	0	0	2	1	4	6	38	0	6	1	17	0	4	12	2
CCNA1	102	95	16	14	13	26	46	62	182	135	86	102	59	80	159	171	11	51	147	47
CCNA2	38	10	30	8	6	10	34	17	34	13	44	13	8	17	13	61	2	18	12	10
CCNB1	393	96	12	83	21	99	97	117	389	108	229	53	131	165	234	250	115	166	251	157
CCNB1IP1	55	79	22	14	32	12	25	36	114	24	50	58	72	46	46	83	51	57	52	31
CCNB2	0	0	0	1	0	0	0	0	2	0	6	0	0	0	0	0	1	0	0	0
CCNB3	9	0	1	0	3	0	19	2	68	32	1	1	13	7	20	2	2	1	1	11
CCNC	270	125	76	44	38	69	67	186	269	200	250	242	194	190	271	198	44	140	245	250
CCND1	209	974	966	92	477	993	288	1089	284	612	1788	770	234	117	71	574	82	117	59	58
CCND2	1037	926	3258	182	778	437	649	1393	585	1165	2639	1790	445	406	322	613	474	556	108	82
CCND2-AS1	3	1	5	0	2	3	1	0	0	0	6	1	1	0	1	0	0	2	0	0
CCND3	33	22	39	42	24	30	44	43	69	71	101	108	44	35	40	36	77	31	34	53
CCNDBP1	593	226	103	111	60	166	94	234	700	225	413	312	328	310	517	295	66	220	310	370
CCNE1	5	0	0	1	0	0	0	1	4	0	4	61	1	3	8	16	2	1	4	14
CCNE2	20	97	23	0	4	1	6	48	10	25	38	69	8	41	12	18	1	35	12	4
CCNF	12	1	2	2	7	5	0	10	7	41	1	5	9	5	20	9	1	6	5	37
CCNG1	364	124	136	97	85	129	135	297	370	241	223	270	245	187	197	216	30	143	214	132
CCNG2	77	86	127	50	39	96	114	103	101	199	195	128	129	93	35	90	11	93	23	31
CCNH	425	210	74	46	34	81	41	65	327	192	267	120	149	144	172	176	38	67	168	116
CCNI	997	423	602	232	306	583	591	1015	988	881	833	840	473	596	654	917	572	638	497	661
CCNI2	210	118	59	46	46	78	47	107	247	127	205	232	86	73	178	138	45	91	122	96
CCNJ	75	18	27	12	10	33	24	145	35	141	141	106	30	100	18	141	25	8	31	21
CCNJL	3	24	14	10	3	1	3	12	20	5	17	6	7	6	4	9	9	14	45	0
CCNK	410	232	194	92	86	319	381	332	546	321	371	460	365	254	320	451	143	221	259	471
CCNL1	163	121	129	31	60	61	78	172	131	220	147	262	94	134	79	155	36	90	51	119
CCNL2	192	145	165	53	48	68	140	143	340	259	191	286	150	130	166	180	54	93	102	206
CCNO	12	2	0	5	0	0	11	15	3	0	2	11	11	3	6	3	2	3	17	0
CCNT1	373	297	246	114	123	174	241	325	270	279	450	251	255	157	257	394	132	229	185	235
CCNT2	988	321	234	230	166	485	458	569	1096	585	1042	792	486	708	731	645	150	316	480	377
CCNT2-AS1	9	0	6	0	6	0	4	0	3	1	12	7	0	1	5	5	6	3	14	9
CCNY	466	792	266	117	111	191	365	381	612	593	401	396	290	308	369	413	166	187	304	427
CCNYL1	163	37	105	20	46	15	12	156	146	23	160	66	132	117	55	76	21	71	74	50
CCNYL2	0	0	0	1	0	1	3	2	0	2	11	0	0	6	5	7	1	4	1	2
CCP110	2303	663	422	509	299	614	593	949	2000	776	1199	1015	1141	1223	1809	1684	443	875	1060	1245
CCPG1	1337	367	421	226	255	275	493	538	1115	702	965	580	467	459	807	732	282	504	452	471
CCR1	86	421	246	26	147	309	120	315	40	193	784	320	34	17	89	40	47	128	0	53
CCR10	24	111	5	10	4	21	37	16	55	34	38	63	41	17	20	16	14	4	15	21
CCR2	0	0	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0
CCR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR5	2	65	38	2	10	19	26	29	2	15	73	11	0	4	14	6	26	4	0	0
CCR6	4	2	0	1	0	1	0	3	8	8	4	5	0	4	1	1	1	0	1	0
CCR7	0	0	0	1	3	0	0	0	0	0	2	0	0	12	0	0	0	0	1	0
CCR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCRL2	0	5	13	0	1	0	5	7	3	5	9	8	84	15	0	1	0	10	0	1
CCS	3	5	4	0	3	0	1	3	11	10	18	11	0	0	1	4	7	5	3	3
CCSAP	193	183	132	57	60	142	147	147	166	247	229	214	104	220	127	163	78	155	101	130
CCSER1	166	54	18	29	7	18	11	30	86	28	149	31	39	93	129	57	87	42	86	62
CCSER2	13515	3630	1332	2781	1511	4408	2580	4403	12718	5319	6612	5405	5866	8067	10388	8038	2359	3513	6984	6147
CCT2	2529	657	301	339	315	865	458	850	2749	907	1470	975	1021	1010	2040	1364	266	756	1330	1438
CCT3	786	239	131	168	126	287	267	291	879	255	366	334	436	330	668	662	264	289	490	473
CCT4	893	170	128	171	91	137	225	235	887	262	480	438	534	450	766	522	182	229	513	580
CCT5	3564	1563	617	666	480	1636	1053	1058	3571	2175	1508	1564	2050	1193	2904	2441	803	1098	1677	3241
CCT6A	3424	1328	462	737	468	1293	861	1271	4107	1702	2254	1919	1658	1807	3081	2390	629	1148	2384	3002
CCT6B	31	0	2	0	12	0	1	6	33	1	20	7	21	8	15	8	0	0	3	0
CCT6P1	2	7	14	1	0	1	10	2	9	5	20	31	2	13	5	2	0	2	9	0
CCT6P3	19	51	31	4	33	20	17	21	14	47	32	51	35	12	28	22	8	12	15	19
CCT7	295	81	66	94	78	139	105	91	366	184	173	140	234	100	282	237	157	95	280	375
CCT8	1631	382	234	261	177	497	366	513	1508	650	966	554	939	654	1344	791	255	337	761	981
CCT8L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCZ1	624	265	79	122	59	222	142	265	892	492	462	384	279	360	295	303	63	150	330	202
CCZ1B	288	3	39	0	39	92	43	157	217	32	184	98	51	48	354	92	56	158	98	118
CD101	1	29	1	0	0	0	0	1	5	5	0	1	0	1	0	0	0	0	0	0
CD109	40	84	197	4	15	31	122	115	47	97	120	169	76	23	18	51	3	70	20	5
CD14	0	10	4	0	2	3	0	23	4	4	15	30	0	0	5	2	1	0	0	0
CD151	51	18	36	13	17	39	26	13	50	13	35	39	36	29	25	89	71	26	19	60
CD160	61	102	10	12	13	13	77	33	26	41	68	46	92	64	61	64	16	30	63	75
CD163	43	539	818	108	226	206	103	268	24	209	647	56	58	41	24	21	100	254	38	0
CD163L1	25	3	0	1	5	8	4	3	18	67	12	55	14	5	23	12	14	33	3	3
CD164	3261	402	876	339	333	877	833	1089	2524	503	1171	1463	897	1154	2074	1867	456	908	981	545
CD164L2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD177	0	0	1	0	0	0	0	0	1	0	11	0	0	0	0	16	0	19	0	1
CD180	0	8	8	1	4	3	31	29	5	22	8	0	4	0	2	13	1	0	0	0
CD19	0	0	0	1	0	0	0	1	0	0	3	4	0	1	0	0	0	0	0	0
CD1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1C	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
CD1D	0	0	16	0	0	0	0	0	0	0	1	5	0	0	0	5	0	0	0	0
CD1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2	1	2	13	0	1	4	0	2	0	4	13	10	0	0	0	0	1	1	2	0
CD200	235	109	63	26	62	79	88	114	131	242	240	171	101	145	183	152	60	111	29	42
CD200R1	0	0	1	3	0	0	0	0	0	8	3	5	0	8	1	0	0	0	0	0
CD200R1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD209	0	10	14	0	19	0	10	29	10	28	8	56	16	1	9	20	6	3	0	1
CD22	34	49	43	3	9	14	202	77	21	11	154	155	20	6	3	5	12	9	2	17
CD226	11	1	34	0	2	2	0	20	19	1	17	42	21	6	1	6	0	4	0	2
CD24	681	302	136	182	89	271	382	280	1045	319	764	194	520	461	616	456	115	182	330	406
CD244	0	0	2	0	4	0	0	0	0	0	20	0	3	0	0	0	0	0	0	0
CD247	8	0	7	0	0	0	1	2	4	6	0	23	0	7	5	0	10	0	2	1
CD248	2	34	8	1	3	0	0	2	3	12	2	39	9	1	0	5	26	1	2	6
CD27	3	9	1	2	0	3	0	2	13	11	3	10	14	3	3	8	5	4	2	1
CD27-AS1	50	78	14	14	9	70	31	65	58	71	53	101	46	60	34	81	11	45	39	90
CD274	241	98	122	1	24	56	37	38	178	160	238	452	33	42	131	62	14	49	85	62
CD276	309	212	57	85	51	159	112	107	288	95	135	50	221	120	240	366	137	88	89	136
CD28	0	0	6	0	2	0	0	0	0	0	16	23	0	0	0	0	0	6	0	0
CD2AP	1800	484	595	398	235	398	216	936	1563	978	944	442	1075	882	958	1035	222	456	591	539
CD2BP2	179	141	127	47	54	68	77	122	246	184	259	219	111	140	146	192	140	72	144	208
CD300A	0	4	6	0	0	5	2	6	1	1	9	5	0	0	7	0	2	1	0	0
CD300C	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1
CD300E	1	45	99	3	3	51	10	9	20	25	6	1	6	0	16	0	1	2	10	2
CD300LB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300LD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD300LF	0	4	12	2	1	2	0	40	0	1	48	28	0	0	0	7	2	1	0	0
CD300LG	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	18
CD302	40	58	84	7	24	43	44	48	24	47	127	112	27	34	36	54	7	33	36	31
CD320	11	8	0	2	0	7	6	2	14	7	6	13	8	4	10	11	5	6	9	12
CD33	2	0	2	0	1	3	0	9	0	1	5	6	0	0	0	0	0	0	2	0
CD34	11	112	24	10	26	6	37	15	0	165	71	13	50	12	3	31	25	14	2	17
CD36	10	9	48	11	0	5	0	46	0	111	202	3	0	0	10	13	0	14	0	0
CD37	6	4	11	0	2	1	0	3	0	2	4	23	3	0	1	0	0	2	0	0
CD38	32	64	186	6	10	14	42	109	41	13	231	156	143	52	15	48	3	36	26	10
CD3D	0	0	5	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0
CD3E	0	8	0	1	0	1	7	3	0	0	0	10	2	1	0	2	6	0	0	0
CD3EAP	190	99	18	49	18	330	427	154	124	156	66	177	107	66	183	121	49	50	105	138
CD3G	0	0	3	0	0	0	0	3	0	4	1	0	0	0	0	0	0	1	0	0
CD4	19	33	57	11	17	38	81	26	4	38	52	102	6	2	1	29	8	4	2	4
CD40	20	3	7	2	7	17	2	19	20	22	28	49	14	10	9	7	0	5	20	8
CD40LG	1	0	0	0	0	0	4	0	0	4	38	1	8	0	2	0	9	0	0	1
CD44	576	2561	6374	179	546	1601	1157	4260	694	1416	4054	2329	908	261	274	683	131	1140	273	313
CD46	1471	637	429	327	254	287	433	796	1114	618	1228	722	722	720	1165	972	419	613	523	518
CD47	3585	1361	882	555	559	1166	985	1598	2976	2008	2735	2751	1862	1866	2393	2510	825	1489	1920	1829
CD48	0	1	2	1	1	3	0	0	4	6	18	26	0	0	0	6	0	0	0	0
CD5	0	0	3	0	0	0	1	0	0	0	1	1	0	0	2	0	2	0	0	0
CD52	0	0	0	0	0	0	3	3	1	1	1	2	0	0	0	0	0	0	0	0
CD53	22	41	83	0	15	49	5	28	17	20	78	87	24	13	17	22	3	21	1	13
CD55	4860	1120	627	601	569	1527	671	1629	3878	1224	2618	1516	1785	2007	2818	1920	333	1042	1947	1599
CD58	5	10	9	0	9	4	4	4	21	23	33	46	14	17	2	3	0	6	1	1
CD59	16458	6631	2822	3160	2384	6723	4784	5663	21104	4825	10172	7526	9203	7521	13846	10040	3835	5242	9555	10188
CD5L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
CD6	4	2	1	0	7	15	2	2	3	1	3	3	1	2	4	8	0	1	2	2
CD63	3730	1568	2278	774	1218	2479	1017	2596	7217	1823	4411	2659	2076	1282	2886	2812	1204	1578	2214	1444
CD68	14	63	266	5	87	152	113	70	74	101	315	530	7	9	34	103	11	13	11	6
CD69	0	11	13	0	7	23	0	6	0	26	78	48	5	9	0	40	2	10	0	0
CD7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD72	2	3	11	1	1	0	0	2	3	5	13	9	0	0	1	0	4	1	1	1
CD74	109	691	1010	54	205	413	401	619	100	633	1717	1316	155	77	59	161	81	230	30	86
CD79A	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
CD79B	1	0	0	1	0	2	0	0	1	0	1	0	2	2	3	2	0	0	1	0
CD80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
CD81	64	166	154	20	50	90	128	91	76	132	301	283	90	43	56	92	63	91	44	86
CD81-AS1	0	1	2	0	0	2	0	1	0	5	9	0	1	1	0	1	0	1	0	0
CD82	4	12	16	1	5	4	8	5	6	16	11	7	1	3	0	10	3	2	1	1
CD83	458	220	106	115	84	46	80	250	442	253	297	230	145	172	440	372	131	252	287	265
CD84	23	25	71	4	22	43	22	73	26	123	155	145	40	29	17	41	5	64	0	60
CD86	14	3	58	15	0	3	69	31	65	0	112	250	0	5	3	5	0	10	0	3
CD8A	21	33	6	4	3	32	1	21	32	39	18	34	7	17	46	11	17	20	23	15
CD8B	0	0	0	0	3	1	0	0	3	2	4	4	2	0	2	5	1	0	0	0
CD9	149	428	341	28	70	146	270	641	118	457	904	658	129	54	29	91	9	92	21	32
CD93	48	251	285	39	187	284	159	93	31	80	278	112	75	42	10	10	34	96	1	53
CD96	0	0	18	5	2	0	0	0	0	30	3	3	0	0	0	0	0	6	0	0
CD99	612	415	423	241	142	602	377	507	744	186	524	398	727	552	597	893	311	410	510	819
CD99L2	1456	1012	282	327	268	626	637	538	1917	1181	1063	1310	934	930	1199	1534	857	646	901	1777
CD99P1	25	7	14	5	8	1	12	31	20	65	5	18	13	10	24	16	5	12	18	25
CDA	0	2	0	3	1	0	0	5	1	6	0	4	0	0	0	0	0	0	0	0
CDADC1	121	65	38	26	36	47	25	115	75	143	42	44	82	39	68	72	39	68	27	52
CDAN1	2	2	5	0	2	2	9	2	7	9	1	55	5	0	1	12	9	7	3	0
CDC123	652	172	209	95	149	225	59	165	750	170	337	279	356	273	397	566	123	206	340	262
CDC14A	11	56	97	7	19	2	220	23	5	23	82	89	17	20	2	39	18	68	4	24
CDC14B	38	148	85	14	27	38	93	194	33	89	114	120	97	45	34	50	88	45	40	32
CDC14C	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	1	1	0	0
CDC16	725	189	182	126	107	297	186	346	800	257	374	299	371	378	614	484	125	274	389	304
CDC20	4	0	0	0	0	0	0	0	1	2	1	0	0	0	3	0	2	3	0	0
CDC20B	185	4	5	58	51	9	24	74	89	28	7	28	29	118	188	246	54	58	189	272
CDC23	110	3	52	35	14	35	16	69	171	45	109	54	48	37	95	100	47	110	121	59
CDC25A	50	13	3	11	0	8	56	14	21	40	17	27	21	11	37	101	4	5	39	12
CDC25B	99	106	73	26	45	115	121	74	120	179	149	158	71	53	73	70	58	77	60	42
CDC25C	3	0	0	0	0	0	8	0	1	7	0	0	1	2	0	0	3	0	2	0
CDC26	165	107	90	9	36	70	43	136	204	109	150	90	44	52	121	104	29	70	151	93
CDC27	2262	963	345	445	309	552	310	738	1737	1098	1539	1382	928	1351	1727	1323	236	683	1123	1479
CDC34	15	20	7	3	5	10	14	20	29	13	9	9	27	11	22	22	26	2	15	50
CDC37	540	532	196	255	220	532	422	307	603	477	367	396	601	472	422	867	499	294	546	1537
CDC37L1	1853	526	257	262	161	383	390	508	1774	511	790	884	793	782	1235	1012	210	484	914	569
CDC37L1-AS1	1	32	1	0	4	2	0	1	5	0	4	6	2	3	0	2	1	3	0	1
CDC40	470	61	126	67	38	145	148	134	427	126	241	215	125	201	298	333	52	126	181	206
CDC42	5039	1785	837	920	714	1821	1173	1685	5299	2702	3820	3253	2375	2430	3701	2944	1144	1647	2865	2767
CDC42BPA	4200	1479	755	974	725	1772	1364	2060	4606	2452	2538	2290	2273	2357	3339	3216	1409	1669	2409	2465
CDC42BPB	438	276	356	91	158	196	260	289	441	554	449	257	193	254	430	409	350	213	248	492
CDC42BPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP1	2	3	8	0	1	1	2	8	3	4	2	4	1	0	0	4	1	2	0	0
CDC42EP2	0	2	1	2	0	2	1	2	4	2	1	0	1	3	3	3	5	4	3	6
CDC42EP3	241	181	69	72	55	82	88	90	256	53	190	128	182	134	114	125	73	56	196	162
CDC42EP4	30	95	227	56	39	88	172	129	82	151	310	267	62	51	48	39	21	103	22	25
CDC42EP5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CDC42P3	0	1	0	0	0	40	0	4	0	1	5	0	1	0	1	0	0	0	2	0
CDC42SE1	338	185	335	81	144	250	295	313	522	264	385	221	436	213	249	413	290	220	323	493
CDC42SE2	603	342	301	115	117	216	140	285	520	271	594	578	397	201	270	323	187	403	277	259
CDC45	0	19	1	0	2	5	3	2	2	7	1	0	2	6	5	1	3	1	0	0
CDC5L	1192	355	286	362	186	306	411	594	870	557	641	527	545	497	786	978	209	459	417	634
CDC6	15	14	1	14	1	0	2	6	13	0	13	35	17	2	10	6	6	1	25	4
CDC7	114	56	60	8	13	71	20	69	75	31	102	86	26	30	95	52	23	29	46	13
CDC73	1110	283	601	178	285	508	752	630	889	1122	919	1097	376	405	633	664	244	330	502	658
CDCA2	6	0	0	22	0	1	0	4	22	42	45	1	5	5	39	15	1	5	16	11
