Genename	Control_1	Control_2	Control_3	T24_10	T24_5	T48_10	T48_5	T72_10	T72_5
BAGE5	1.2292	0.4687	1.1528	0.9758	0.7975	0.5115	0.4635	0.6713	0.4175
BAHCC1	1.8072	1.0528	1.1760	0.9450	1.0911	0.6604	0.9681	1.3025	0.8506
BAHD1	12.9222	13.0074	13.6611	14.7750	15.6190	12.0481	13.6578	14.4707	12.9255
BAIAP2	31.4647	45.5000	39.9522	30.4408	32.6192	29.9825	31.3109	30.1223	30.6815
BAIAP2-AS1	5.0814	3.4075	3.3005	2.8599	2.9916	2.4137	3.3621	3.0758	2.8564
BAIAP2L1	23.0596	19.8734	21.5555	20.9791	22.3631	19.0234	22.5391	23.2946	20.4041
BAIAP2L2	0.1033	0.0191	0.0000	0.0420	0.0382	0.0094	0.0201	0.0328	0.0338
BAIAP3	1.1576	0.6409	0.9665	0.7561	0.9718	1.7970	0.8882	1.3910	0.8272
BAK1	27.7362	27.1390	27.8742	31.9713	34.7926	33.1348	32.9598	33.2261	35.5662
BAMBI	22.2872	21.9196	24.5335	21.4379	19.4458	22.0277	19.1653	22.2974	23.5464
BANCR	0.1408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BANF1	276.6857	343.7496	301.8669	285.4987	277.4718	275.0480	319.3884	311.2389	280.3642
BANF2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BANK1	0.0000	0.0261	0.0100	0.0096	0.0000	0.0064	0.0069	0.0000	0.0000
BANP	14.0740	17.5415	16.5167	19.4125	21.0872	19.2158	17.7497	16.7746	21.2454
BAP1	40.1996	34.0128	38.1299	38.7732	40.0601	28.6935	33.3107	34.8039	33.1806
BARD1	1.2313	0.9732	1.3961	0.7754	0.8945	0.5986	1.9368	1.3955	0.7468
BARHL1	0.0000	0.0217	0.0166	0.0319	0.0000	0.0107	0.0343	0.0187	0.0256
BARHL2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BARX1	0.3658	0.2026	0.3098	0.2336	0.1739	0.2134	0.2132	0.1989	0.1195
BARX2	0.0000	0.0000	0.0362	0.0000	0.0158	0.0000	0.0000	0.0000	0.0000
BASP1	387.8791	333.5381	344.5869	480.5240	450.6410	355.2430	524.7140	526.9750	380.0160
BASP1P1	0.0000	0.0000	0.0000	0.1144	0.0520	0.0192	0.0000	0.1004	0.0230
BATF	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BATF2	3.3156	4.9434	4.4459	1.5440	2.0439	1.5789	2.1037	2.0542	1.8092
BATF3	14.1447	17.4784	14.9556	16.8272	15.9170	19.9843	15.7643	16.8873	17.5835
BAX	756.7408	788.0480	642.0361	613.8226	614.0466	724.8932	621.0287	653.0616	635.5876
BAZ1A	19.8948	13.1139	16.3259	18.5001	17.2383	15.6249	24.2147	21.4145	18.1209
BAZ1B	31.1051	18.9035	24.9511	23.8638	24.0029	20.6082	29.9987	30.0273	22.6614
BAZ2A	17.7619	11.1821	14.8029	15.8836	16.4424	10.7235	15.0615	16.2273	12.3756
BAZ2B	1.5881	0.7201	1.1007	0.7976	0.7444	0.7349	0.8147	0.9188	0.6304
BBC3	139.0307	206.0255	175.5958	240.3933	225.8090	265.8447	174.1488	258.9481	271.6932
BBIP1	13.6933	12.9542	14.7082	11.8199	11.9695	9.7684	9.8781	9.8209	11.9918
BBOF1	0.6910	0.5922	0.6546	0.5019	0.5562	0.4653	0.3054	0.3376	0.5312
BBOX1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BBOX1-AS1	0.0000	0.0664	0.3710	0.1714	0.0387	0.0957	0.2180	0.1060	0.3913
BBS1	4.9470	4.2518	4.8699	3.8147	4.4492	3.4890	3.6412	4.2350	4.0186
BBS10	5.9629	4.7415	6.2075	4.2508	4.2497	2.9780	4.1799	4.6094	3.9080
BBS12	1.8053	1.2929	1.6407	1.1631	1.5634	0.8154	0.9688	1.1104	1.0930
BBS2	20.6624	15.2401	17.6508	17.4820	17.0768	13.5162	19.5443	17.5532	16.3357
BBS4	6.9302	4.1801	6.1410	5.6820	5.4185	4.6392	6.1072	6.4323	5.8006
BBS5	25.9254	50.9121	39.0503	34.3532	34.4864	42.7194	32.5510	89.4736	48.5652
BBS7	9.2931	7.0906	9.3583	8.1975	8.3716	6.3761	8.6450	7.9129	7.5702
BBS9	2.3341	1.6626	2.4088	1.6475	1.8143	1.1661	1.9997	1.9289	1.5918
BBX	26.4552	18.1955	25.1462	22.7916	22.8435	17.9124	26.0692	26.2056	22.4493
BCAM	32.3090	35.1363	32.7343	20.8078	23.7095	20.4792	18.1597	23.0988	22.1512
BCAN	23.4475	29.6547	30.7567	17.7665	18.9669	20.1791	14.4543	21.7873	18.1981
BCAP29	13.8416	10.2649	13.3886	13.2566	13.8780	10.0960	18.3936	16.0936	13.3238
BCAP31	376.1127	391.8393	392.0910	416.0115	396.4214	400.5147	452.3314	434.1121	403.9160
BCAR1	70.1289	134.7955	111.8568	85.1284	85.7074	76.3544	72.9208	91.5904	95.4057
BCAR3	55.3544	56.4565	56.7810	42.2007	46.8899	39.1144	47.3354	45.1090	46.6838
BCAR4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0915	0.0490	0.0000	0.0000
BCAS1	0.0665	0.0370	0.0187	0.0451	0.0328	0.0242	0.1166	0.1270	0.0654
BCAS2	91.7964	78.4960	93.2999	90.3847	90.4502	74.6170	96.0706	94.1897	96.3037
BCAS3	5.7872	5.2791	6.4454	5.6998	6.5148	4.8350	5.1159	5.9418	5.0759
BCAS4	14.0302	13.6712	13.0680	13.3857	13.5974	14.6436	16.6818	16.2476	15.2103
BCAT1	51.6762	36.7829	58.8818	57.0296	56.6613	38.2194	48.1726	51.5797	49.6851
BCAT2	97.5575	126.7360	115.1408	125.5843	126.7092	155.3220	161.0577	153.6097	152.9713
BCCIP	91.3117	63.9757	78.2658	78.8852	72.6465	61.0426	88.9646	82.2879	74.9255
BCDIN3D	4.8121	3.8358	4.2138	4.1981	3.3241	3.2557	3.1849	3.3515	3.7449
BCDIN3D-AS1	1.6377	1.5159	1.9830	1.0787	1.1553	0.7331	1.0312	0.9683	0.9012
BCHE	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BCKDHA	87.9844	131.4271	111.0629	101.3691	117.6225	87.4262	78.7452	75.9717	100.4417
BCKDHB	7.0076	5.6774	6.8225	6.6962	6.2708	4.8224	6.6812	5.4705	5.7257
BCKDK	43.1101	54.0564	52.3726	51.1891	55.7256	46.9494	53.1044	52.1551	50.7676
BCL10	26.0898	19.5702	25.6039	18.0480	17.1326	14.2647	17.3904	17.3709	17.4366
BCL11A	6.4051	6.2010	6.3055	11.8369	12.2034	10.9778	8.5660	10.0718	11.0318
BCL11B	0.0088	0.0146	0.0149	0.0036	0.0098	0.0000	0.0000	0.0000	0.0086
BCL2	5.3782	5.2645	7.2728	4.3809	4.9432	2.8301	4.1110	6.2797	3.6604
BCL2A1	112.6718	95.7262	101.0404	128.2157	124.5292	191.9415	163.8754	177.4226	180.7987
BCL2L1	230.5015	243.3743	231.8892	159.0700	157.9145	177.1884	179.6666	187.3607	181.3321
BCL2L10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BCL2L11	3.3416	3.3955	4.1233	3.7021	4.5333	2.1065	2.9465	3.0343	2.7939
BCL2L12	32.4201	40.9854	39.9638	48.7099	48.9594	54.9178	61.4048	64.3968	51.3558
BCL2L13	28.1178	25.5416	31.1145	31.0076	32.1636	23.5938	26.9824	29.0427	27.9546
BCL2L14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0108	0.0000	0.0000	0.0000
BCL2L15	0.2857	0.1418	0.1533	0.1574	0.1523	0.1676	0.2122	0.2906	0.1694
BCL2L2	17.8967	10.1677	11.5172	12.5227	12.3918	9.8292	11.7650	12.8566	11.6914
BCL2L2-PABPN1	86.8003	55.0645	52.7034	55.7811	55.0860	52.0538	62.5622	56.8386	53.5840
BCL3	14.9778	20.5896	19.6064	14.0720	15.5769	14.3641	14.5851	16.9741	15.0571
BCL6	10.1347	9.7118	10.9389	18.2142	20.1813	11.0796	17.4142	16.7687	14.0528
BCL6B	0.0000	0.0000	0.0256	0.0082	0.0000	0.0000	0.0176	0.0000	0.0000
BCL7A	4.1476	4.2371	3.9670	4.3219	4.5332	2.9383	3.8393	3.5694	3.4224
BCL7B	55.2828	66.9457	62.3230	69.9978	68.3487	63.2778	67.7476	67.2242	65.7929
BCL7C	39.3682	65.0278	53.0906	53.6389	55.4086	69.0745	64.8437	80.1593	63.0732
BCL9	3.0985	2.6029	2.9651	2.5730	3.0823	1.5414	2.5004	2.6081	2.0277
BCL9L	28.6148	29.7566	30.4425	25.5455	29.2811	18.6102	20.9387	25.1920	22.3832
BCLAF1	15.3527	9.3078	14.0452	15.2395	14.8221	9.4556	17.4328	15.3471	12.3905
BCO1	0.0000	0.0167	0.0127	0.0000	0.0111	0.0000	0.0088	0.0000	0.0098
BCO2	0.0840	0.0776	0.1186	0.0911	0.0933	0.0305	0.0408	0.0267	0.0640
BCOR	4.9596	3.1966	4.5569	5.5950	6.0788	3.3990	5.0852	5.3448	4.2948
BCORL1	1.4251	1.2883	1.4888	0.9983	1.2276	0.8698	1.1066	1.1421	0.8452
BCORP1	0.0619	0.0000	0.0522	0.0171	0.0532	0.0160	0.0674	0.0407	0.0470
BCR	12.9504	14.7219	15.9138	16.7802	17.4431	12.7423	16.1985	19.6284	15.3050
BCRP2	0.9484	0.7304	1.0539	1.2173	1.3138	0.9480	1.1829	1.1467	0.7704
BCRP3	0.1131	0.7970	0.4791	0.3883	0.5684	0.7333	0.4258	1.0407	0.6897
BCS1L	77.2204	84.5826	84.0708	78.2713	80.4210	76.1270	84.4473	72.8960	84.5756
BCYRN1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BDH1	6.9908	6.6017	5.4992	7.4901	7.5078	7.8816	8.4726	9.2003	7.4996
BDH2	3.8370	2.9538	3.6007	3.0638	3.0162	2.7850	3.9673	3.1540	3.0819
BDKRB1	0.2433	0.1685	0.2834	0.2967	0.2025	0.3645	0.4787	0.3473	0.3378
BDKRB2	0.4360	0.3809	0.4331	0.6065	0.5210	0.5982	0.6597	0.6383	0.7941
BDNF	6.5094	4.3514	5.4191	1.9109	2.1730	2.1484	1.8998	2.2867	2.1898
BDNF-AS	1.0053	0.3667	1.1495	0.9610	0.6692	0.7563	0.2817	0.6850	1.1222
BDP1	5.9049	2.1753	4.3535	4.2539	3.4311	3.2045	4.5249	4.7073	3.7365
BEAN1	0.0703	0.0000	0.0218	0.0000	0.0000	0.0192	0.0000	0.0000	0.0000
BEAN1-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BECN1	70.0099	48.8525	58.2006	59.5911	59.2401	50.3172	59.1657	56.2419	58.0419
BECN2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BEGAIN	0.0541	0.0300	0.0458	0.0330	0.0400	0.0516	0.0079	0.0258	0.0442
BEND2	0.1753	0.1642	0.1285	0.1946	0.1382	0.1140	0.1321	0.0966	0.1669
BEND3	1.3903	1.2992	1.5553	1.1975	1.3662	0.7553	1.5300	1.2145	1.0438
BEND3P3	2.0437	1.5723	2.5658	2.5888	2.8332	1.6829	2.2247	2.7839	1.9705
BEND4	0.9532	0.7749	1.1565	0.8975	0.8885	0.4347	0.8844	0.9513	0.7188
BEND5	0.0000	0.0000	0.0181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BEND6	0.3885	0.3345	0.4840	0.3275	0.2793	0.4103	0.3922	0.4674	0.4797
BEND7	7.6366	3.9274	6.6022	5.9002	6.0859	4.5525	5.7231	5.5930	5.2668
BEST1	1.7763	1.3023	1.3289	1.0281	0.8807	0.8007	0.4425	0.6019	0.7806
BEST2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0373	0.0000
BEST3	1.8029	1.5966	1.9703	2.4053	2.5939	1.8022	2.3530	1.9431	2.3608
BEST4	0.0707	0.0000	0.0449	0.0718	0.0131	0.0096	0.0103	0.0673	0.0346
BET1	49.3484	39.3153	43.1156	50.0297	44.6904	41.1001	49.8798	50.9539	49.6851
BET1L	19.5860	17.7275	19.6987	22.7248	23.7959	18.0286	21.4119	22.7177	20.3560
BEX1	53.0773	43.6367	40.2807	45.4450	44.6901	49.1770	59.6672	49.5528	47.0252
BEX2	1.8218	0.8520	1.0488	0.7420	0.4967	0.6137	0.5061	0.4582	0.4553
BEX3	243.7240	205.4324	186.3588	150.4482	140.8113	181.7630	207.9870	190.9205	166.6604
BEX4	7.2989	5.4529	6.7306	6.3142	6.2373	5.2258	3.1749	4.6831	5.9237
BEX5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0294	0.0000	0.0000	0.0000
BFAR	46.8661	41.7790	47.7900	47.9438	50.7193	37.2172	48.5914	49.2389	47.0967
BFSP1	6.9091	4.9411	4.5650	3.7671	3.6565	3.1737	3.9879	3.4533	3.4719
BFSP2	0.0486	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0231	0.0000
BFSP2-AS1	5.7485	4.4039	4.7644	3.6456	3.6342	2.9194	3.3194	3.2231	3.2842
BGLAP	0.0000	0.0000	0.0908	0.0000	0.0000	0.0903	0.0000	0.0000	0.0000
BGLT3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BGN	0.0596	0.1530	0.2016	0.0363	0.0888	0.0324	0.0607	0.1416	0.0194
BHLHA15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0771	0.0000	0.0000
BHLHA9	0.0000	0.0000	0.1673	0.1070	0.0487	0.1435	0.1151	0.0000	0.0000
BHLHB9	0.3863	0.2724	0.3643	0.4013	0.3513	0.2266	0.2218	0.2349	0.2558
BHLHE22	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	0.0000	0.0000	0.0137
BHLHE23	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BHLHE40	47.2455	45.3166	46.7103	252.6430	291.4710	195.2590	237.3080	242.3150	229.5190
BHLHE40-AS1	0.2368	0.1660	0.2269	0.2355	0.3899	0.1886	0.4418	0.4467	0.2963
BHLHE41	1.5164	1.2446	1.3476	0.4337	0.4778	0.1785	0.9493	0.9086	0.2140
BHMG1	0.2099	0.3198	0.2000	0.2879	0.2038	0.2144	0.1071	0.1998	0.2057
BHMT	0.0583	0.0323	0.0864	0.0710	0.0216	0.0317	0.0000	0.0139	0.0666
BHMT2	0.8987	0.4637	0.5159	0.3488	0.4014	0.4327	0.4067	0.4130	0.3857
BICC1	2.7096	1.6702	2.4720	2.3831	2.2225	1.4461	2.6108	2.4554	1.6837
BICD1	5.1701	2.9607	3.7994	2.7584	2.6273	1.5914	3.2287	3.3283	2.5362
BICD2	16.0910	9.8173	13.9157	13.0958	12.7274	8.7971	13.0345	13.8901	11.4434
BID	28.4499	30.3882	32.5780	34.0115	32.4849	32.0630	38.9685	31.4185	34.3017
BIK	14.1366	14.3837	14.9463	7.7324	8.8131	7.1429	6.4000	6.5150	7.2888
BIN1	54.1327	59.9456	56.6008	56.0555	56.9622	53.6344	56.6611	53.3829	52.2617
BIN2	0.0000	0.0189	0.0145	0.0417	0.0000	0.0000	0.0000	0.0000	0.0000
BIN3	20.5831	19.2469	19.7398	22.1357	22.6285	19.4863	22.3938	22.8204	21.8023
BIN3-IT1	0.0414	0.0457	0.0348	0.1000	0.0608	0.0449	0.1198	0.0196	0.0939
BIRC2	33.9565	25.6140	35.5557	36.1846	36.3098	29.4085	48.5124	43.2004	42.5735
BIRC3	1.4081	1.1065	1.6492	0.9214	1.0158	0.6120	1.0740	0.8791	0.8905
BIRC5	36.6382	32.6110	36.3114	21.8329	26.1887	25.1691	73.1557	52.8283	34.2387
BIRC6	4.0647	2.4293	5.0537	4.6200	5.0748	2.6214	4.1574	4.8661	3.5096
BIRC6-AS2	0.3447	0.0955	0.1459	0.0000	0.0637	0.0939	0.0000	0.0000	0.0563
BIRC7	0.0000	0.0333	0.0000	0.0489	0.1112	0.1146	0.1715	0.2003	0.0982
BIRC8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0107	0.0000	0.0000
BISPR	3.9619	3.2063	3.4033	2.4211	2.4669	1.8326	1.5331	1.7637	2.1522
BIVM	16.9296	11.7787	15.1243	12.9289	12.7777	9.2911	15.1540	13.4425	12.1544
BIVM-ERCC5	0.0000	0.0000	0.0014	0.4652	0.0000	0.0000	0.1469	0.8370	0.0000
BLACAT1	1.0540	0.6915	0.9513	1.0032	0.6053	0.5514	0.5254	0.5411	0.7066
BLACE	0.2408	0.3878	0.5365	0.5807	0.5041	0.8510	0.6978	2.1074	0.9103
BLCAP	40.8329	38.0806	40.2385	42.9626	40.8581	37.6250	37.3021	41.1312	39.5878
BLID	2.1234	1.1764	1.9267	1.0684	1.3089	0.5232	1.2966	1.0104	0.8586
BLK	0.0841	0.0777	0.0356	0.0798	0.0519	0.0611	0.0981	0.0400	0.1282
BLM	2.1468	1.1170	1.7519	1.5277	2.0677	1.0143	2.9577	2.7708	1.6008
BLMH	52.5003	43.0511	50.4719	63.1575	59.9938	48.6636	59.6131	60.7814	53.7456
BLNK	0.0000	0.0558	0.0000	0.0499	0.0454	0.0501	0.1072	0.0292	0.0329
BLOC1S1	72.6310	83.0137	73.7437	57.4192	55.6049	64.2519	76.1768	67.2279	63.7991
BLOC1S1-RDH5	2.9752	4.8232	3.3527	2.7936	2.7115	2.6676	2.1016	2.3148	2.8958
BLOC1S2	39.9718	25.9319	31.2876	55.9443	51.2943	53.3220	47.9392	46.2427	56.6777
BLOC1S3	11.0500	12.4813	13.0745	12.7064	13.5918	11.1966	10.0425	12.6340	11.7237
BLOC1S4	31.3539	34.7978	38.6708	41.4424	34.5127	39.4257	38.2468	35.4716	34.8017
BLOC1S5	10.1552	7.2876	9.5655	7.7448	7.6509	5.9567	6.7838	7.1780	7.1883
BLOC1S5-TXNDC5	1.0061	0.3546	0.7886	0.8636	0.3927	0.0000	0.4416	0.7423	0.0459
BLOC1S6	23.9990	18.0028	24.1017	22.3155	21.9361	16.8124	22.0846	20.9075	20.8037
BLVRA	59.9912	61.5484	66.9113	73.2105	68.7104	72.2049	80.7268	76.3997	74.0418
BLVRB	192.6440	243.2010	237.4200	230.0190	226.4390	289.2440	224.2120	247.6120	282.6060
BLZF1	18.5434	11.8975	16.4217	16.9581	17.5486	9.5191	13.9152	15.4537	13.6658
BMF	3.1377	2.4455	2.4168	4.1163	4.5933	1.7713	2.8831	3.3140	1.9520
BMI1	30.7919	24.6019	31.4804	27.0645	27.2128	19.7205	23.0196	27.9999	21.3465
BMP1	22.6406	19.9563	21.2150	38.8484	41.6086	37.3258	36.4914	43.2558	41.6182
BMP10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BMP15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BMP2	6.7128	9.4419	10.3938	9.2130	8.7610	7.9896	7.1666	9.6362	9.5820
BMP2K	3.2426	2.8296	4.4640	3.9151	4.3322	2.0899	4.2965	4.2081	3.0014
BMP3	0.0363	0.0275	0.0565	0.0394	0.0314	0.0298	0.0322	0.0404	0.0561
BMP4	0.0860	0.0953	0.0910	0.1573	0.0318	0.0703	0.0111	0.1432	0.0281
BMP5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BMP6	8.8451	13.0941	12.7170	11.5865	13.6421	7.4498	14.8620	19.9362	9.8684
BMP7	0.1771	0.1410	0.2031	0.1297	0.1457	0.1447	0.0806	0.1830	0.1274
BMP7-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BMP8A	0.1350	0.0639	0.0986	0.0673	0.0897	0.1016	0.1093	0.1387	0.1048
BMP8B	0.0568	0.0312	0.0255	0.0534	0.0511	0.0563	0.0766	0.0469	0.0430
BMPER	0.0832	0.0538	0.0352	0.0226	0.0359	0.0264	0.0283	0.0198	0.0363
BMPR1A	8.0830	5.2826	7.5930	6.6974	6.6904	4.0926	7.6386	6.5160	5.5683
BMPR1B	4.1485	3.7585	3.8193	4.6675	4.5492	3.6017	4.3880	4.3413	4.4730
BMPR1B-AS1	0.0000	0.0000	0.0000	0.0614	0.0000	0.0000	0.0000	0.0000	0.0000
BMPR2	4.8354	3.7057	5.7602	11.3064	11.8295	6.0014	7.4779	9.0375	7.6395
BMS1	32.2695	21.9808	29.8498	28.4771	27.9156	22.5062	30.0891	30.1313	26.5428
BMS1P17	1.2719	0.1792	0.4225	0.7104	0.5373	0.4021	0.6121	0.5517	0.1931
BMS1P18	1.2719	0.1792	0.4225	0.7104	0.5373	0.4021	0.6121	0.5517	0.1931
BMS1P20	22.7893	19.2795	22.0481	21.2786	22.3368	20.2253	19.1749	18.9360	21.6542
BMS1P21	0.3249	0.0602	0.2826	0.0882	0.2364	0.1956	0.1578	0.2581	0.1560
BMS1P22	8.2667	7.7907	8.1604	9.2018	8.5363	7.5895	9.0602	9.9796	7.5863
BMS1P4	1.1213	0.5450	0.8119	0.7172	1.0189	0.6100	0.9097	0.7888	0.6604
BMS1P5	2.3903	1.1508	1.5885	1.2498	1.3025	1.0281	1.1015	1.0198	1.3136
BMS1P6	0.6006	0.4066	0.5153	0.4667	0.4575	0.3308	0.3635	0.6014	0.4179
BMX	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BNC1	2.9525	2.5659	3.3871	3.4859	4.4204	2.2605	3.2101	3.2960	2.9989
BNC2	1.4534	1.0860	1.5485	0.6127	0.8095	0.4648	1.4520	1.3001	0.6401
BNIP1	29.2459	32.9108	30.8797	30.5414	33.5051	32.6313	30.2535	30.5021	33.4461
BNIP2	19.6726	12.7663	18.2843	18.2190	17.2902	12.5517	17.3145	17.6109	16.5205
BNIP3	100.8830	87.1038	100.3430	41.1509	39.4922	38.5758	47.1662	45.1781	43.2410
BNIP3L	49.2475	40.6070	51.3041	35.0433	35.3110	28.3335	40.2395	39.8705	35.1015
BNIPL	0.3150	0.1777	0.2898	0.2640	0.2309	0.2095	0.3302	0.2009	0.2043
BOC	2.5366	3.0061	2.5543	1.9836	1.7811	1.7521	2.9612	2.7662	1.8596
BOD1	72.7478	64.4571	71.4657	68.5828	70.3647	65.3699	67.1325	62.5789	70.9738
BOD1L1	15.5425	6.8767	10.3139	9.9462	8.1891	7.6253	10.0734	10.8620	8.8530
BOD1L2	0.0000	0.0000	0.0000	0.0087	0.0079	0.0000	0.0000	0.0000	0.0000
BOK	42.6437	68.4518	64.6045	88.3608	84.5559	84.5538	73.6668	82.2248	102.7360
BOK-AS1	0.7256	0.6125	0.6184	0.8846	0.5872	0.7668	0.8534	1.5644	0.8264
BOLA1	32.2962	44.5360	40.9407	39.5824	37.9839	46.4185	49.2576	52.1135	45.5543
BOLA2	241.4940	185.2578	184.1774	202.3775	203.2659	291.8537	236.9400	276.0156	208.4017
BOLA2-SMG1P6	36.7555	32.9740	36.5249	42.3316	42.1510	34.7667	32.7204	32.2705	40.2746
BOLA2B	35.1580	31.4756	32.2744	37.4165	36.5267	50.8917	45.2758	50.2196	37.3201
BOLA3	93.7422	79.5822	84.5760	55.0014	69.1614	66.1072	89.4374	86.1183	68.5383
BOLA3-AS1	3.9348	3.4637	3.8708	3.3853	4.0046	3.0117	4.0565	4.2716	4.2069
BOLL	0.0247	0.0146	0.0313	0.0300	0.0098	0.0067	0.0144	0.0000	0.0161
BOP1	266.2240	465.4530	401.3120	473.1620	459.3320	548.5270	469.6540	496.5860	540.4840
BORA	3.0841	1.9251	2.9404	1.5741	2.2341	1.3535	4.4230	3.8272	2.2672
BORCS5	3.1648	3.1785	3.5314	3.4639	3.2750	4.1845	4.5269	5.3554	4.2663
BORCS6	10.8667	17.6720	16.0389	19.7777	16.9879	20.5773	17.9192	21.0547	21.0782
BORCS7	15.9615	11.3394	13.0441	12.2772	10.7417	12.4817	12.5634	12.2465	14.4302
BORCS7-ASMT	0.5208	0.2172	0.2227	0.0019	0.2005	0.1696	0.0542	0.2214	0.3075
BORCS8	21.3541	30.9783	25.5695	24.1917	25.8981	23.1657	27.5964	25.1756	28.3262
BPESC1	0.0202	0.0112	0.0257	0.0082	0.0000	0.0220	0.0177	0.0000	0.0132
BPGM	9.5776	6.9417	9.9641	60.2002	59.6733	38.6272	64.1914	58.2103	51.3853
BPHL	4.6941	4.6407	4.8516	4.4289	4.3116	3.8701	3.9093	3.7470	4.5138
BPI	0.0000	0.0000	0.0000	0.0000	0.0000	0.0222	0.0000	0.0000	0.0000
BPIFA1	0.0000	0.0000	0.0000	0.0331	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFA2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFA3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFA4P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFB1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFB2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFB3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFB4	0.0000	0.0188	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000
BPIFB6	0.0000	0.0000	0.0244	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPIFC	0.0000	0.0000	0.0000	0.0000	0.0139	0.0000	0.0000	0.0000	0.0000
BPNT1	12.8981	7.7132	9.1326	8.3906	7.5169	7.7224	11.9809	9.8419	8.7999
BPTF	7.4160	3.1467	4.7825	4.6446	4.3317	4.0501	5.2797	5.6419	4.2341
BPY2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPY2B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BPY2C	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BRAF	7.3944	5.9627	7.4506	7.3490	8.5659	4.0209	5.3909	6.0615	5.7707
BRAP	13.4005	10.0477	12.4585	11.4741	13.0405	8.5026	12.1437	11.9130	11.1788
BRAT1	42.2379	81.4764	69.5544	84.5686	80.7469	93.3528	91.6993	110.4540	101.4000
BRCA1	4.5713	2.9643	4.3918	3.5255	3.7399	2.6668	5.7839	4.7819	4.1301
BRCA2	0.6593	0.3654	0.6827	0.4603	0.5187	0.3057	0.9083	0.8427	0.4664
BRCAT107	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BRCAT54	0.6543	0.6896	0.8658	0.4593	0.4823	0.5343	0.6802	0.7130	0.5496
BRCC3	13.2434	9.8464	13.2272	10.9739	11.4560	7.9940	10.2770	9.8943	10.5906
BRD1	12.9401	10.5122	12.1541	13.3423	13.0384	10.8656	11.5574	13.1293	12.5551
BRD2	47.5621	32.9902	35.4104	32.6438	35.3427	28.8510	29.6259	34.7621	30.0083
BRD3	12.2812	8.6875	10.7790	10.0862	11.7847	8.8395	10.4391	12.1415	9.6775
BRD4	48.8199	35.0913	34.1507	32.5406	36.8227	33.9715	31.8533	37.1039	30.8086
