ESC_47	ESC_19	ESC_20	ESC_13	ESC_11	ESC_28	ESC_3	ESC_36	ESC_22	ESC_37	ESC_29	ESC_45	ESC_15	ESC_14	ESC_10	ESC_1	ESC_21	ESC_5	ESC_6	ESC_23	ESC_35	ESC_25	ESC_2	ESC_43	ESC_30	ESC_12	ESC_24	ESC_27	ESC_40	ESC_7	ESC_17	ESC_38	ESC_39	ESC_16	ESC_4	ESC_9	ESC_31	ESC_33	ESC_42	ESC_18	ESC_34	ESC_26	ESC_48	ESC_41	MEF_54	MEF_61	MEF_67	MEF_91	MEF_62	MEF_70	MEF_78	MEF_90	MEF_49	MEF_77	MEF_53	MEF_74	MEF_59	MEF_81	MEF_84	MEF_83	MEF_79	MEF_72	MEF_60	MEF_88	MEF_73	MEF_71	MEF_51	MEF_65	MEF_66	MEF_76	MEF_68	MEF_92	MEF_89	MEF_64	MEF_87	MEF_82	MEF_75	MEF_69	MEF_52	MEF_50	MEF_86	MEF_63	MEF_56	MEF_55	MEF_80	MEF_85	MEF_58	MEF_57
Gm20632	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	22	0	0	0	0	31	0	0	0	0	0	0	2	0	0	0	50	6	0	0	0	0	6
Gm20633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist2h4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	41	0	0	0	0	0
4930477E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terc	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC107364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hfe2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Txnip	0	0	22	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	1430	0	7	0	0	0	0	0	0	0	2	14	0	0	0	3	0	24	57	0	0	0	22	0	11	144	21	93	6	0	952	0	271	0	31	0	509	39	0	247	0	0	0	27	0	0	0	0	113	0	105	21	0	95	41	32	1	0	0	12	6	0	78	81	11	0	0	61	40
Polr3gl	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	147	9	8	1	0	0	16	52	5	0	0	0	0	115	0	0	0	27	0	0	0	0	90	2	0	4	2	4	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0
Ankrd34a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Lix1l	2	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	4	0	0	2	0	0	0	0	419	42	350	0	1	28	265	38	66	0	12	92	71	631	0	0	451	203	0	0	11	95	0	0	0	67	142	67	38	76	0	6	6	0	21	151	87	54	137	0	0	116	20
6330549D23Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	65	0	0	0	34	0
Rbm8a	136	0	14	13	29	0	0	32	8	7	0	48	0	0	57	0	8	34	0	2	4	80	2	10	0	4	17	27	0	9	40	20	0	0	0	25	36	40	0	0	0	1	0	0	40	79	36	55	3	122	62	199	130	5	0	43	142	157	31	0	0	16	65	19	0	12	221	52	0	27	12	60	8	68	84	0	5	18	57	0	13	168	78	3	84	0	117	169
Pex11b	0	0	0	0	0	0	0	1	0	0	96	2	0	0	0	0	0	5	0	0	0	0	0	0	0	56	0	0	0	0	0	23	0	0	0	0	30	60	0	0	0	0	0	0	3	175	0	129	0	23	0	0	187	69	0	20	0	0	11	0	0	0	0	0	9	0	2	0	0	0	0	6	0	13	0	0	24	5	0	0	0	0	21	284	0	0	21	0
Itga10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	22	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl21-ps11	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pias3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21	0	39	0	41	12	14	6	0	0	48	38	0	3	0	0	31	32	3	0	0	44	0	0	0	0	0
Nudt17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3c	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	2	0	0	4	0	5	0	43	0	0	0	0	4	0	0	0	0	0	0	0	0	4	18	0	0	25	0	0	0	62	26	8	0	0	0	10	0	27	0	23	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	27	0	0	0	12	0	0	0	66	9	0
Rnf115	0	13	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	1	2	29	5	583	0	71	0	159	0	1	0	0	1	15	0	12	1	0	64	15	0	0	214	138	3	0	0	60	0	48	12	0	65	0	0	0	63	0	0	17	0	0	30	13
Gpr89	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	13	39	53	0	0	64	23	56	0	0	0	0	66	0	0	0	0	22	0	0	43	0	27	80	0	0	0	81	72	0	34	0	30	162	0	0	16	0	0	6	0	0	64	0
Acp6	23	0	0	0	0	0	0	4	14	0	0	0	0	16	0	0	0	19	0	8	0	0	0	0	2	21	0	0	4	0	92	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	40	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	60	0	0	0	17	0	13	0	4	5	0	0	0	0	0	0	0	40	0	0	0	7	5
Bcl9	1	0	0	0	0	0	0	0	9	0	0	8	0	0	3	0	7	1	0	0	0	0	0	0	9	0	0	2	0	19	0	0	0	0	15	0	0	13	0	0	6	0	0	0	76	130	0	568	0	74	0	144	3	4	0	1	5	458	0	0	0	40	1	0	0	22	32	248	0	88	0	1533	27	0	35	0	0	125	143	0	0	0	253	0	0	0	1	0
Gm17608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	23	0	0	0	0	0	0	0	0	23	0	0	0	71	0
Fmo5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	27	0	0	0	0
Prkab2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	85	10	45	33	0	0	0	0	0	0	0	0	0	0	0	0	11	62	0	0	0	2	0	0	0	76	8	0	0	17	202	0	36	0	0	0	0	37	15	10	0	0	0	0
Pde4dip	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	14	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	7	0	3	1	103	17	1	7	0	80	0	0	25	0	35	10	0	46	56	21	0	13	67	2	0	11	13	61	0	18	132	39	1	44	65	7	16	55	0	0	31	49	0	53	0	37	101	83
Sec22b	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	3	0	4	0	0	0	0	1	1	16	0	91	12	10	71	65	0	105	38	38	68	1	0	109	57	35	121	41	0	108	122	2	1	0	53	205	4	53	13	48	38	117	145	0	46	16	18	0	54	153	172	1	121	0	76	162
Notch2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	1	0	0	0	0	0	70	249	25	79	1	0	0	0	21	0	0	0	0	0	0	0	75	0	0	62	22	0	118	0	9	5	2	176	11	64	119	0	0	0	0	24	0	0	1	68	77
Phgdh	2	0	0	0	54	0	0	0	63	24	5	0	0	21	0	0	0	18	0	42	170	0	0	1	0	112	0	0	0	0	0	27	0	0	1	8	0	17	0	0	0	1	0	2	36	246	0	7	0	1	50	147	51	44	0	2	72	105	18	0	22	46	31	0	0	14	0	0	0	16	69	98	7	0	125	40	0	149	0	0	142	0	17	0	2	0	100	1
Zfp697	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	41	0	108	0	207	0	56	164	0	0	8	1	70	19	0	0	0	38	0	0	60	0	0	0	13	193	10	0	6	34	15	0	70	0	91	98	0	310	0	0	0	41	0
Hsd3b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	37	0
Wars2	33	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	37	17	0	0	0	2	0	0	0	0	0	7	0	0	0	0	1	0	1	0	0	0	3	0	0	0	2	44	3	39	10	0	72	0	0	0	0	0	6	0	0	1	20	61
Tbx15	0	0	0	0	0	0	0	0	29	0	5	0	0	0	8	0	3	0	3	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	5	0	19	192	486	154	0	0	175	2	75	249	88	9	0	143	0	14	0	0	303	82	85	13	142	191	4	0	443	0	223	96	102	70	0	64	271	0	36	31	6	4	0	73	0	3	43
M6pr-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Gm22505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr3	0	35	0	0	0	0	0	0	0	0	2	0	0	0	0	45	0	0	0	35	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	22	10	4	0	1	0	0	0	70	0	0	18	0	147	0	0	0	5	33	0	0	18	4	0	0	15	12	15	0	0	27	0	0	0	0	0	0	290	123	0	0	26	75	31
Gdap2	69	38	0	0	0	0	0	0	2	0	0	0	0	0	7	0	80	0	0	77	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	20	1	98	0	0	0	20	1	0	2	1	61	0	0	227	0	1	0	38	10	0	11	0	0	1	0	0	1	0	0	0	39	0
Fam46c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Gm12474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
Man1a2	35	1	4	0	13	0	0	2	4	0	6	1	0	1	10	0	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2	0	0	14	0	0	4	14	126	2	34	844	1	26	358	15	57	0	33	22	8	28	101	0	44	86	159	0	300	230	56	0	104	100	41	188	229	30	0	0	234	46	1	51	89	643	82	53	0	247	158
Trim45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	13	0	0	0	5	10	0	0	74	0	0	27	46
Ttf2	0	0	0	0	32	0	0	0	11	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	9	19	8	0	0	0	37	0	0	0	0	0	0	0	42	0	4	4	0	11	0	0	0	0	0	7	0	0	0	28	0	0	0	0	0	0	0	0	44	0	0	3	49	0	0	0	39	4	257	1	27	0	0	0	0	9	0	0	19	0	0	0	53	0
Ptgfrn	0	0	1	0	0	0	0	0	7	0	20	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	75	0	3	0	0	0	42	0	0	0	56	0	0	0	28	0	0	0	11	378	76	26	0	106	40	656	106	141	0	22	27	41	56	0	0	60	23	25	0	42	111	92	3	112	13	435	18	103	263	0	0	111	5	3	15	60	112	32	0	14	195	5
Tpt1-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd2	0	38	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf3	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	66	74	1	0	0	6	0	0	8	80	8	0	0	0	0	0	0	0	32	25	43	0	6	116	0	0	4	0	10	0	1	0	0	0	13	0	0	0	4	85	0	0	0	105	0
Atp1a1	93	0	10	0	0	0	0	0	45	0	0	4	0	0	5	2	6	0	0	2	0	4	13	12	0	0	0	17	49	3	0	0	0	0	1	0	0	8	0	0	5	6	1	2	74	227	57	208	0	113	26	635	24	386	0	22	12	29	21	13	9	14	95	135	23	288	36	49	7	637	16	495	113	20	620	15	106	95	45	12	17	303	766	7	14	256	192	3
Mab21l3	0	0	0	0	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Slc22a15	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	18	10	0	0	0	2	0	0	0	0	18	0	0	0	0	0
Vangl1	0	0	113	0	169	0	0	0	0	0	6	0	0	119	0	4	0	81	0	0	0	0	0	0	1	0	0	24	0	0	44	0	0	0	0	0	1	38	0	1	1	0	0	0	0	73	0	0	0	0	0	100	0	1	0	0	0	0	2	0	0	0	23	58	0	0	15	174	0	0	0	2	109	38	12	0	8	0	0	0	0	2	0	0	0	0	56	43
Ngf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	12	0	0	0	37	0	0	0	0	0	0	0	0	0	12	0
Tspan2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	46	91	0	0	1	0	46	0	76	0	19	70	114	0	0	0	3	173	72	0	27	29	190	1	186	162	1	127	5	29	0	44	71	0	0	10	138	23	123	0	0	0	21
Sycp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Nr1h5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	0	0	0
Sike1	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	34	28	0	0	0	42	0	15	16	0	0	3	14	45	43	0	22	36	21	0	0	0	0	1	0	11	39	0	6	16	0	45	13	0	0	34	33	0	10	0	0	1	0
Csde1	65	2	5	5	46	6	3	6	143	0	41	11	29	55	105	4	82	0	8	105	35	95	6	6	3	20	0	7	0	19	4	548	28	1	10	0	17	75	83	0	16	934	31	26	364	919	345	212	6	390	60	1256	3111	430	0	260	190	378	281	182	160	85	374	794	19	372	185	858	56	837	109	1490	353	453	544	29	588	1049	249	133	293	399	285	2265	40	121	1013	352
Nras	0	0	9	0	27	0	0	4	8	12	5	0	0	17	35	0	0	4	0	1	14	0	0	0	0	0	0	11	0	0	3	26	0	3	6	0	0	0	0	0	2	42	0	0	0	127	126	105	0	20	206	15	13	24	0	183	30	189	0	60	0	97	103	36	0	44	161	51	0	130	84	121	121	38	167	0	75	111	38	15	0	19	108	290	19	27	161	170
Dennd2c	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	17	0	0	0	19	0	0	1	0	0	0	21	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0
Bcas2	224	0	59	41	55	0	0	1	88	0	24	0	110	31	7	8	4	37	5	71	69	0	0	0	0	47	13	0	37	0	0	150	1	0	4	26	24	128	0	0	0	22	96	82	0	100	12	31	104	90	0	65	88	38	0	7	193	121	164	15	70	115	9	80	3	38	101	48	5	77	6	128	65	176	28	22	72	78	5	39	28	39	116	0	2	0	115	362
Trim33	0	0	0	0	265	1	0	0	121	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	15	0	170	1	0	40	78	0	0	32	0	13	3	46	99	0	0	0	7	0	79	0	74	127	4	18	31	79	6	65	0	0	37	6	0	0	0	0	30	18	0	0	51	25
Syt6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0
Olfml3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	56	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	65	0	0	0	35	8	0	1	0	0	0	50	15	0	0	0	0	0	0	0	50	0	0	0	0	1
Hipk1	69	0	0	4	18	0	0	0	20	0	0	1	0	51	18	0	3	0	0	10	0	3	0	158	0	0	0	0	0	6	0	190	0	0	0	0	0	0	0	0	2	3	0	0	37	105	0	196	0	74	57	88	2	269	0	58	157	0	2	2	0	133	29	132	9	1	129	91	2	46	500	297	571	200	308	181	13	49	159	0	13	28	86	8	0	0	184	121
Dclre1b	0	2	0	0	21	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	89	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0
Ap4b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	19	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	5	0	0	19	0	0	0	126	0	0	20	17	0	0	77	60	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0
Gm15602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Rsbn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	28	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0
